Name	MolecularFormula	MolecularWeight	ExactMass	HeavyAtoms	Rings	AromaticRings	MolecularVolume	RotatableBonds	HydrogenBondDonors	HydrogenBondAcceptors	SLogP	SMR	TPSA	Fsp3Carbons	Sp3Carbons	MolecularComplexity
Spirilene	C24H28FN3O	393.50	393.2216	29	4	2	379.26	5	1	4	5.00	119.21	35.58	0.38	9	71
Etonogestrel	C22H28O2	324.46	324.2089	24	4	0	344.10	1	1	2	3.83	101.45	37.30	0.68	15	43
Diacetylmorphine	C21H23NO5	369.41	369.1576	27	5	1	338.27	4	0	6	2.94	101.01	67.14	0.52	11	60
Maraviroc	C29H41F2N5O	513.67	513.3279	37	5	2	486.75	8	1	6	6.47	148.91	63.05	0.69	20	73
Melagatran	C22H31N5O4	429.51	429.2376	31	3	1	412.86	9	5	9	1.58	121.87	148.61	0.55	12	62
Elzasonan	C22H23Cl2N3OS	448.41	447.0939	29	4	2	387.52	3	0	4	6.57	128.34	26.79	0.32	7	62
Phthalylsulfathiazole	C22H28N2O2	352.47	352.2151	26	3	2	351.38	7	1	4	4.42	108.43	55.56	0.41	9	55
Tezosentan	C27H27N9O6S	605.62	605.1805	43	5	5	492.65	11	3	15	4.58	155.65	200.11	0.22	6	94
Diosmin	C28H32O15	608.54	608.1741	43	5	3	509.19	7	8	15	3.20	149.38	242.34	0.46	13	49
Perindopril	C19H32N2O5	368.47	368.2311	26	2	0	370.57	9	2	7	2.74	106.50	95.94	0.84	16	56
Sebriplatin	C11H18N2O4Pt	437.35	437.0914	18	3	0	232.83	0	2	6	0.55	68.69	80.80	0.82	9	61
Pivampicillin	C22H29N3O6S	463.55	463.1777	32	3	1	426.95	9	2	9	2.44	124.14	128.03	0.55	12	63
Tigemonam	C12H15N5O9S2	437.41	437.0311	28	2	1	335.83	8	4	14	0.48	93.56	210.81	0.42	5	86
Tigecycline	C29H39N5O8	585.65	585.2799	42	4	1	551.48	7	7	13	1.41	159.37	205.76	0.52	15	70
Ruboxistaurin	C28H28N4O3	468.55	468.2161	35	6	4	416.53	2	1	7	4.31	138.98	70.57	0.29	8	65
Anidoxime	C21H27N3O3	369.46	369.2052	27	2	2	363.59	11	1	6	5.05	112.17	63.16	0.33	7	69
Leurubicin	C33H40N2O12	656.68	656.2581	47	5	2	596.94	9	7	14	2.16	171.14	237.24	0.52	17	70
Algestone	C24H34O4	386.52	386.2457	28	5	0	389.20	1	0	4	4.71	115.96	56.74	0.83	20	43
Lutein	C40H56O2	568.87	568.4280	42	2	0	664.38	10	2	2	10.22	194.01	40.46	0.45	18	32
Cinfenine	C25H27NO	357.49	357.2093	27	3	3	364.67	9	0	2	6.29	115.12	12.47	0.20	5	43
Pinoxepin	C23H27ClN2O2	398.93	398.1761	28	4	2	371.53	5	1	4	5.59	118.06	38.01	0.39	9	57
